JPN,CHN,PHN,KOR,ASN,ETP,MASTER,ADHOC_OLD
ROYN,ZSJH,,,,,RJOK,
,ZSJN,,,,,RJOM,
,ZSJU,,,,,RJOO,
,ZSLD,,,,,RJOR,
,ZSLG,,,,,RJOS,
,ZSLQ,,,,,RJOT,
,ZSLY,,,,,RJOW,
,ZSNB,,,,,RJOY,
,ZSNJ,,,,,RJOZ,
,ZSNT,,,,,RJSA,
,ZSOF,,,,,RJSC,
,ZSPD,,,,,RJSD,
,ZSQD,,,,,RJSF,
,ZSQZ,,,,,RJSH,
,ZSRZ,,,,,RJSI,
,ZSSH,,,,,RJSK,
,ZSSM,,,,,RJSM,
,ZSSR,,,,,RJSN,
,ZSSS,,,,,RJSO,
,ZSTX,,,,,RJSR,
,ZSWA,,,,,RJSS,
,ZSWF,,,,,RJST,
,ZSWH,,,,,RJSU,
,ZSWX,,,,,RJSY,
,ZSWY,,,,,RJTA,
,ZSWZ,,,,,RJTC,
,ZSXZ,,,,,RJTE,
,ZSYA,,,,,RJTF,
,ZSYC,,,,,RJTH,
,ZSYN,,,,,RJTJ,
,ZSYT,,,,,RJTK,
,ZSYW,,,,,RJTL,
,ZSZS,,,,,RJTO,
,ZUAL,,,,,RJTQ,
,ZUAS,,,,,RJTT,
,ZUBD,,,,,RJTU,
,ZUBJ,,,,,RJTY,
,ZUBZ,,,,,RKJB,
,ZUCK,,,,,RKJJ,
,ZUDC,,,,,RKJK,
,ZUDX,,,,,RKJM,
,ZUGU,,,,,RKJU,
,ZUGY,,,,,RKJY,
,ZUGZ,,,,,RKND,
,ZUHY,,,,,RKNN,
,ZUJZ,,,,,RKNW,
,ZUKD,,,,,RKNY,
,ZUKJ,,,,,RKPC,
,ZULB,,,,,RKPD,
,ZULS,,,,,RKPE,
,ZULZ,,,,,RKPK,
,ZUMT,,,,,RKPS,
,ZUMY,,,,,RKPU,
,ZUNC,,,,,RKRS,
,ZUNP,,,,,RKSG,
,ZUNZ,,,,,RKSI,
,ZUPS,,,,,RKSM,
,ZUQJ,,,,,RKSO,
,ZURK,,,,,RKSS,
,ZUTF,,,,,RKSW,
,ZUTR,,,,,RKTA,
,ZUUU,,,,,RKTE,
,ZUWL,,,,,RKTH,
,ZUWS,,,,,RKTI,
,ZUWX,,,,,RKTL,
,ZUXC,,,,,RKTN,
,ZUYB,,,,,RKTP,
,ZUYI,,,,,RKTU,
,ZUZH,,,,,RKTY,
,ZUZY,,,,,ROAH,
,ZWAK,,,,,RODN,
,ZWAT,,,,,ROIG,
,ZWBL,,,,,ROIT,
,ZWCM,,,,,ROKJ,
,ZWFY,,,,,ROKR,
,ZWHM,,,,,ROMD,
,ZWHZ,,,,,ROMY,
,ZWKC,,,,,RORA,
,ZWKL,,,,,RORE,
,ZWKM,,,,,RORH,
,ZWKN,,,,,RORK,
,ZWNL,,,,,RORS,
,ZWRQ,,,,,RORT,
,ZWSC,,,,,RORY,
,ZWSH,,,,,ROTM,
,ZWTC,,,,,ROYN,
,ZWTL,,,,,RPLC,
,ZWTN,,,,,RPLL,
,ZWTP,,,,,RPLP,
,ZWTS,,,,,RPMC,
,ZWWW,,,,,RPMD,
,ZWYN,,,,,RPME,
,ZWYT,,,,,RPMG,
,ZYAS,,,,,RPMO,
,ZYBA,,,,,RPMP,
,ZYBS,,,,,RPMY,
,ZYCC,,,,,RPNS,
,ZYCH,,,,,RPSP,
,ZYCY,,,,,RPUN,
,ZYDD,,,,,RPUT,
,ZYDQ,,,,,RPVA,
,ZYDU,,,,,RPVD,
,ZYFY,,,,,RPVE,
,ZYHB,,,,,RPVI,
,ZYHE,,,,,RPVJ,
,ZYJD,,,,,RPVK,
,ZYJM,,,,,RPVM,
,ZYJS,,,,,RPVP,
,ZYJX,,,,,RPVR,
,ZYJZ,,,,,RPVV,
,ZYLD,,,,,SBEG,
,ZYMD,,,,,SBGR,
,ZYMH,,,,,SBRJ,
,ZYQQ,,,,,SKMR,
,ZYSQ,,,,,SKPE,
,ZYTL,,,,,SKPT,
,ZYTN,,,,,UAAA,
,ZYTX,,,,,UACC,
,ZYYJ,,,,,UEEE,
,ZYYK,,,,,UHHH,
,,,,,,UHMA,
,,,,,,UHMM,
,,,,,,UHPP,
,,,,,,UHSS,
,,,,,,UHWW,
,,,,,,UIAA,
,,,,,,UIBB,
,,,,,,UIII,
,,,,,,ULLI,
,,,,,,UMMS,
,,,,,,UNAA,
,,,,,,UNNT,
,,,,,,UOOO,
,,,,,,USCC,
,,,,,,UUDD,
,,,,,,UUEE,
,,,,,,UWLW,
,,,,,,VCBI,
,,,,,,VDPP,
,,,,,,VDSR,
,,,,,,VDSV,
,,,,,,VECC,
,,,,,,VGHS,
,,,,,,VHHH,
,,,,,,VIDP,
,,,,,,VLVT,
,,,,,,VMMC,
,,,,,,VNKT,
,,,,,,VRMM,
,,,,,,VTBD,
,,,,,,VTBS,
,,,,,,VTCC,
,,,,,,VTCT,
,,,,,,VTSG,
,,,,,,VTSM,
,,,,,,VTSP,
,,,,,,VVCR,
,,,,,,VVDN,
,,,,,,VVNB,
,,,,,,VVTS,
,,,,,,VYMD,
,,,,,,VYYY,
,,,,,,WADD,
,,,,,,WAHI,
,,,,,,WARR,
,,,,,,WBKK,
,,,,,,WIII,
,,,,,,WIOO,
,,,,,,WMKK,
,,,,,,WSSS,
,,,,,,YMML,
,,,,,,YSSY,
,,,,,,ZBAA,
,,,,,,ZBAD,
,,,,,,ZBAL,
,,,,,,ZBAR,
,,,,,,ZBCD,
,,,,,,ZBCF,
,,,,,,ZBCZ,
,,,,,,ZBDH,
,,,,,,ZBDS,
,,,,,,ZBDT,
,,,,,,ZBEN,
,,,,,,ZBER,
,,,,,,ZBES,
,,,,,,ZBHD,
,,,,,,ZBHH,
,,,,,,ZBHZ,
,,,,,,ZBLA,
,,,,,,ZBLF,
,,,,,,ZBLL,
,,,,,,ZBMZ,
,,,,,,ZBOW,
,,,,,,ZBSJ,
,,,,,,ZBTJ,
,,,,,,ZBTL,
